record_id,chapter,exact_combination,normalized_lookup,combination_key,sign_1,sign_2,aliases,igbo_meanings,english_meanings,source_chapter
AFA-13-12,Chapter 13: Ose,Ose Odii,Ose Odii,OSE__ODII,Ose,Odii,ose odi ; ose odii,Dibia Oji | Nde Ana | Onye anya lulu ana | Onye anya dolu | Iwe,Ancient black mystics | Itinerant Igbo Dibias (Explorers) | One who has come to clarity | One who sees very deeply | To be angry,13 - Ose
AFA-13-13,Chapter 13: Ose,Ose Ofu,Ose + Ofu / Ovu,OSE__OFU,Ose,Ofu / Ovu,ose ofu ; ose ovu,Agwu | Oshi | Amosu,Agwu | Theft | Witchcraft,13 - Ose
AFA-13-14,Chapter 13: Ose,Ose Ogheli,Ose + Ogheli / Ogoli / Ogholi,OSE__OGOLI,Ose,Ogheli / Ogoli / Ogholi,ose ogheli ; ose ogholi ; ose ogoli,Iyi | Ife mmebi,Something spoiling | Total destroyer | Total loss,13 - Ose
AFA-13-15,Chapter 13: Ose,Ose Otule,Ose Otule,OSE__OTULE,Ose,Otule,ose otule,Onu | Obi Mbu | Anuli,"Sothis (Sirius), the brightest star in the sky | Joy | Happiness",13 - Ose
AFA-13-16,Chapter 13: Ose,Ose Ululu,Ose Ululu,OSE__ULULU,Ose,Ululu,ose ululu,Anya Nkiti | Anya eji-afu Mmadu | Ife a juru aju | Ulukpu | Agbulu Ukwu,Ordinary eyes | Physical eyes | Something that is rejected | Aether | Clouds | Cloud gatherer | Great Agbulu,13 - Ose
AFA-14-01,Chapter 14: Ofu (Ovu),Ofu Aka,Ofu / Ovu + Aka,OFU__AKA,Ofu / Ovu,Aka,ofu aka ; ovu aka,Aka Ndu | Ndu | Okike | Mgbakali,Life path | Life | Creation | Freedom,14 - Ofu (Ovu)
AFA-14-02,Chapter 14: Ofu (Ovu),Ofu Akwu,Ofu / Ovu + Akwu,OFU__AKWU,Ofu / Ovu,Akwu,ofu akwu ; ovu akwu,Chi Ukwu | Nzuko | Ogbako | Otukwu,Great spirit of limitlessness | Meeting | Gathering | Conference | Forest–Water–Mineral elemental world i.e. mind and memory realm of the earth,14 - Ofu (Ovu)
AFA-14-03,Chapter 14: Ofu (Ovu),Ofu Aghali,Ofu / Ovu + Aghali,OFU__AGHALI,Ofu / Ovu,Aghali,ofu agali ; ofu aghali ; ovu agali ; ovu aghali,Ike Chukwu | Ife mmee | Igbupu obara,Spiritual activeness | Something bloody | Something causing bleeding,14 - Ofu (Ovu)
AFA-14-04,Chapter 14: Ofu (Ovu),Ofu Atulukpa,Ofu / Ovu + Atulukpa,OFU__ATULUKPA,Ofu / Ovu,Atulukpa,ofu atulukpa ; ovu atulukpa,Ihe di mma | Ifeoma,Something good | Blessings,14 - Ofu (Ovu)
AFA-14-05,Chapter 14: Ofu (Ovu),Ofu Ete,Ofu / Ovu + Ete,OFU__ETE,Ofu / Ovu,Ete,ofu ete ; ovu ete,Mkporu | Uru,Sorrow | Mourning,14 - Ofu (Ovu)
AFA-14-06,Chapter 14: Ofu (Ovu),Ofu Ijite or Ofu Ogwute,Ofu / Ovu + Ijite / Ogwute,OFU__IJITE_OGWUTE,Ofu / Ovu,Ijite / Ogwute,ofu ijite ; ofu ijite or ofu ogwute ; ofu ogwute ; ovu ijite ; ovu ogwute,Ife e gbodoru egbodo | Ichi aka kwedo,Blockaid | Something struggling to move forward or succeed,14 - Ofu (Ovu)
AFA-14-07,Chapter 14: Ofu (Ovu),Ofu Obara,Ofu / Ovu + Obara / Obala,OFU__OBARA,Ofu / Ovu,Obara / Obala,ofu obala ; ofu obara ; ovu obala ; ovu obara,Iyi Akwu | Anwu Anwu | Nzu | Mmanya,Ether | Sun | Koalin | Symbolizing purity | Drink,14 - Ofu (Ovu)
AFA-14-08,Chapter 14: Ofu (Ovu),Ofu Ora,Ofu / Ovu + Ora,OFU__ORA,Ofu / Ovu,Ora,ofu ora ; ovu ora,Chukwu | Anyanwu na Ubosi | Anyanwu na Agbala | Eziokwu | Okochi | Nwanya Anwu na Eze Enu | Ogilishi,God | The Absolute or Highest attainable state | Day and Night | Light and Darkness | Truth | Dry Season | Sun Woman and the Sky King | Ogilisi sacred plant,14 - Ofu (Ovu)
AFA-14-09,Chapter 14: Ofu (Ovu),Ofu Okala,Ofu / Ovu + Okala / Okara,OFU__OKALA,Ofu / Ovu,Okala / Okara,ofu okala ; ofu okara ; ovu okala ; ovu okara,Ifeocha ukwu na aka | Ofala,Ablution | Washing hands and feet | Celebration of the first half of reign,14 - Ofu (Ovu)
AFA-14-10,Chapter 14: Ofu (Ovu),Ofu Ose,Ofu / Ovu + Ose,OFU__OSE,Ofu / Ovu,Ose,ofu ose ; ovu ose,Ajo nni | E ri nri na-adighi mmadu mma na e ri | Akpu,Bad food | Eating something that is not good for the body | Cassava plant,14 - Ofu (Ovu)
AFA-14-11,Chapter 14: Ofu (Ovu),Ofu Obi,Ofu / Ovu + Obi / Ogbi,OFU__OBI,Ofu / Ovu,Obi / Ogbi,ofu obi ; ofu ogbi ; ovu obi ; ovu ogbi,Ajo jie | Ije na-adighi mma,Bad journey | Something not being good | Oneness,14 - Ofu (Ovu)
AFA-14-12,Chapter 14: Ofu (Ovu),Ofu Odii,Ofu / Ovu + Odii,OFU__ODII,Ofu / Ovu,Odii,ofu odi ; ofu odii ; ovu odi ; ovu odii,Aru | Igbudo aja ani | Ndi Egede,Abomination | A committed act that requires cleansing | Ancestors who came into the world when the first abomination was committed,14 - Ofu (Ovu)
AFA-14-13,Chapter 14: Ofu (Ovu),Ofu Naabo,Ofu / Ovu + Naabo,OFU__NAABO,Ofu / Ovu,Naabo,ofu naabo ; ovu naabo,Afufu,Hardship | Suffering,14 - Ofu (Ovu)
AFA-14-14,Chapter 14: Ofu (Ovu),Ofu Ogheli,Ofu / Ovu + Ogheli / Ogoli / Ogholi,OFU__OGOLI,Ofu / Ovu,Ogheli / Ogoli / Ogholi,ofu ogheli ; ofu ogholi ; ofu ogoli ; ovu ogheli ; ovu ogholi ; ovu ogoli,Okpu-Nwanyi-Nono | Ime Efio | Iko Ikpa,Great Matriach | Final Primogenital Authority | Rascality | Being heady,14 - Ofu (Ovu)
AFA-14-15,Chapter 14: Ofu (Ovu),Ofu Otule,Ofu / Ovu + Otule,OFU__OTULE,Ofu / Ovu,Otule,ofu otule ; ovu otule,Onu | Anuli,Sirius | Gladness,14 - Ofu (Ovu)
AFA-14-16,Chapter 14: Ofu (Ovu),Ofu Ululu,Ofu / Ovu + Ululu,OFU__ULULU,Ofu / Ovu,Ululu,ofu ululu ; ovu ululu,Njo | Ife jochali nio meche di mma,Bad | Something that was bad and later became good,14 - Ofu (Ovu)
AFA-15-01,Chapter 15: Otule,Otule Aka,Otule Aka,OTULE__AKA,Otule,Aka,otule aka,Mkpu | Iti Mpku | Mkpuani,Loud announcement | Public announcement | To be loud | Anthill,15 - Otule
AFA-15-02,Chapter 15: Otule,Otule Akwu,Otule Akwu,OTULE__AKWU,Otule,Akwu,otule akwu,Uzu | Ihio Uzu,Noise | Make noise,15 - Otule
AFA-15-03,Chapter 15: Otule,Otule Aghali,Otule Aghali,OTULE__AGHALI,Otule,Aghali,otule agali ; otule aghali,Iyi | Azu,Oath | fish,15 - Otule
AFA-15-04,Chapter 15: Otule,Otule Atulukpa,Otule Atulukpa,OTULE__ATULUKPA,Otule,Atulukpa,otule atulukpa,Itakwuokwu | Ntamu,Whispering | Soliloquizing,15 - Otule
AFA-15-05,Chapter 15: Otule,Otule Ete,Otule Ete,OTULE__ETE,Otule,Ete,otule ete,Ila di | Utu | Uta | Igwe (Alusi Igwe) | Uta Igwe na-agba Ana | Enigwe na-agba Ana Uta | Onu/Oni | Onunu | Ogwugwu,Sex | Penis | Arrow | Igwe deity | Sagittarius | (Energetic) Hole | Void,15 - Otule
AFA-15-06,Chapter 15: Otule,Otule Ijite or Otule Ogwute,Otule + Ijite / Ogwute,OTULE__IJITE_OGWUTE,Otule,Ijite / Ogwute,otule ijite ; otule ijite or otule ogwute ; otule ogwute,Ikpu Ihe | Ikpu Aka n'Onu | Otinku (Okuko a ma na o bu oke) | Nne okuko | Ikpu Ife Joro Njo,To remove something | Male fowl | Female fowl | Remove or cover a bad thing,15 - Otule
AFA-15-07,Chapter 15: Otule,Otule Obara,Otule + Obara / Obala,OTULE__OBARA,Otule,Obara / Obala,otule obala ; otule obara,Ugo | Idi Aso,Eagle | Being holy,15 - Otule
AFA-15-08,Chapter 15: Otule,Otule Ora,Otule Ora,OTULE__ORA,Otule,Ora,otule ora,Okwu a nuru na nu | Inuru okwu,Words heard | Understood words,15 - Otule
AFA-15-09,Chapter 15: Otule,Otule Okara,Otule + Okala / Okara,OTULE__OKALA,Otule,Okala / Okara,otule okala ; otule okara,Igba Agba | Ika Ihe,Giving appointment | To give date for something | To fix something,15 - Otule
AFA-15-10,Chapter 15: Otule,Otule Ose,Otule Ose,OTULE__OSE,Otule,Ose,otule ose,Ajookwu | Ikwu Ajo Onu | Mma Oge | Ogbu Abani,Bad speech | Foul words | Provoking talk | Speaking with a bad mouth | Defensive Knife | Knife of time,15 - Otule
AFA-15-11,Chapter 15: Otule,Otule Obi,Otule + Obi / Ogbi,OTULE__OBI,Otule,Obi / Ogbi,otule obi ; otule ogbi,Ile oma,Politeness | A display of goodness | Visibly good,15 - Otule
AFA-15-12,Chapter 15: Otule,Otule Odii,Otule Odii,OTULE__ODII,Otule,Odii,otule odi ; otule odii,Ihe di n'ukwu | Nnekwute ihe | Egbe | Ihe na ada uda,Something big or grand | Greatness | Gun | Something that makes a loud sound,15 - Otule
AFA-15-13,Chapter 15: Otule,Otule Ofu,Otule + Ofu / Ovu,OTULE__OFU,Otule,Ofu / Ovu,otule ofu ; otule ovu,Ile oma,Politeness | A display of positivity | Visibly good,15 - Otule
AFA-15-14,Chapter 15: Otule,Otule Ogheli,Otule + Ogheli / Ogoli / Ogholi,OTULE__OGOLI,Otule,Ogheli / Ogoli / Ogholi,otule ogheli ; otule ogholi ; otule ogoli,"Onye Ehio | Ehio | (Onye Evio, evio) | Nzuzu | Ofeke",Rascal someone | Rascally | Stupidity | Ignorant or unitiated person,15 - Otule
AFA-15-15,Chapter 15: Otule,Otule Naabo,Otule Naabo,OTULE__NAABO,Otule,Naabo,otule naabo,Okike | Ikpe abuo | Okwu n'uka,Okike instrument that talks | Two cases | Dispute,15 - Otule
AFA-15-16,Chapter 15: Otule,Otule Ululu,Otule Ululu,OTULE__ULULU,Otule,Ululu,otule ululu,Ahia Afo | Afo | Onu Ututu,Afo Market day | Earth | Land | Early (6am) in the morning,15 - Otule
AFA-16-01,Chapter 16: Ululu,Ululu Aka,Ululu Aka,ULULU__AKA,Ululu,Aka,ululu aka,Ji | Ulu,Yam | Benefits | Favour,16 - Ululu
AFA-16-02,Chapter 16: Ululu,Ululu Akwu,Ululu Akwu,ULULU__AKWU,Ululu,Akwu,ululu akwu,Ajo nri mmadu riri | Nsi,Bad food eaten by somebody | Poison,16 - Ululu
AFA-16-03,Chapter 16: Ululu,Ululu Aghali,Ululu Aghali,ULULU__AGHALI,Ululu,Aghali,ululu agali ; ululu aghali,Ife Oriri,Edible thing | A thing that exists for eating,16 - Ululu
AFA-16-04,Chapter 16: Ululu,Ululu Atulukpa,Ululu Atulukpa,ULULU__ATULUKPA,Ululu,Atulukpa,ululu atulukpa,Uha | Ilite Uwa,Gain | Accumulation | To gain benefit,16 - Ululu
AFA-16-05,Chapter 16: Ululu,Ululu Ete,Ululu Ete,ULULU__ETE,Ululu,Ete,ululu ete,Ede | Ndaghachi Azu | Anya mmiri,Coco-yam | Set back in life | Challenge/Pain,16 - Ululu
AFA-16-06,Chapter 16: Ululu,Ululu Ijite or Ululu Ogwute,Ululu + Ijite / Ogwute,ULULU__IJITE_OGWUTE,Ululu,Ijite / Ogwute,ululu ijite ; ululu ijite or ululu ogwute ; ululu ogwute,Ji,Yam,16 - Ululu
AFA-16-07,Chapter 16: Ululu,Ululu Obara,Ululu + Obara / Obala,ULULU__OBARA,Ululu,Obara / Obala,ululu obala ; ululu obara,Iri ife | Inwe mmeri,To win or be a winner,16 - Ululu
AFA-16-08,Chapter 16: Ululu,Ululu Ora,Ululu Ora,ULULU__ORA,Ululu,Ora,ululu ora,Aguu,Hunger,16 - Ululu
AFA-16-09,Chapter 16: Ululu,Ululu Okara,Ululu + Okala / Okara,ULULU__OKALA,Ululu,Okala / Okara,ululu okala ; ululu okara,A kachaa a kaboo,Disappointment,16 - Ululu
AFA-16-10,Chapter 16: Ululu,Ululu Ose,Ululu Ose,ULULU__OSE,Ululu,Ose,ululu ose,Ukwuala | Ajo nri | Nsi,Cough | Bad food | Poison,16 - Ululu
AFA-16-11,Chapter 16: Ululu,Ululu Obi,Ululu + Obi / Ogbi,ULULU__OBI,Ululu,Obi / Ogbi,ululu obi ; ululu ogbi,Uha | Ilite uwa | Ihe nrite,Gain | Accumulation | To gain benefit,16 - Ululu
AFA-16-12,Chapter 16: Ululu,Ululu Odii,Ululu Odii,ULULU__ODII,Ululu,Odii,ululu odi ; ululu odii,Akazu | Ajo nni | Ife nkwukwuli,Bribery | Bad food | Dirty business,16 - Ululu
AFA-16-13,Chapter 16: Ululu,Ululu Ofu,Ululu + Ofu / Ovu,ULULU__OFU,Ululu,Ofu / Ovu,ululu ofu ; ululu ovu,Nri | Ime nri | Ife oriri ime | Ihe oriri | Mana Mana,Food | Edible thing | Which exists for eating | Manna/Spirit food,16 - Ululu
AFA-16-14,Chapter 16: Ululu,Ululu Ogheli,Ululu + Ogheli / Ogoli / Ogholi,ULULU__OGOLI,Ululu,Ogheli / Ogoli / Ogholi,ululu ogheli ; ululu ogholi ; ululu ogoli,Nri | Nri bi ife,Food | To eat poisoned food,16 - Ululu
AFA-16-15,Chapter 16: Ululu,Ululu Otule,Ululu Otule,ULULU__OTULE,Ululu,Otule,ululu otule,Ube Okpoko | Uha | Ilite uva,Ube (the first tree on earth) | Gain | make profit,16 - Ululu
AFA-16-16,Chapter 16: Ululu,Ululu naabo,Ululu Naabo,ULULU__NAABO,Ululu,Naabo,ululu naabo,Ugwo | Iji ugwo,Debt,16 - Ululu
